time,House overall,Dishwasher,Home office,Fridge,Wine cellar,Garage door,Barn,Well,Microwave,Living room,Furnace,Kitchen,Solar,temperature,humidity,visibility,apparentTemperature,pressure,windSpeed,cloudCover,windBearing,precipIntensity,dewPoint,precipProbability,year_month
2016-03-10 12:35:00,0.777833333,0.0,0.03985,0.136966667,0.006916667,0.012766667,0.030316667,0.000966667,0.00405,0.329066667,0.085433333,0.000299967,0.019633333,60.06,0.3,10.0,60.06,1016.28,11.02,0.01,224.0,0.0,28.82,0.0,2016-03
2016-03-18 13:21:00,0.349816667,1.67e-05,0.0402,0.0055,0.007,0.012916667,0.0308,0.001,0.004083333,0.001483333,0.182716667,0.0007334,0.05395,30.88,0.76,5.6,26.65,1013.99,4.12,0.24,24.0,0.0018,24.31,0.04,2016-03
2016-03-18 22:43:00,0.997116667,5e-05,0.056583333,0.004783333,0.00665,0.064033333,0.031066667,0.001,0.004016667,0.334533333,0.226216666,0.0009166669999999,0.0003,35.3,0.68,9.66,30.96,1008.41,4.99,0.23,299.0,0.0,25.98,0.0,2016-03
2016-03-28 07:40:00,0.617283333,0.0,0.041816667,0.136733333,0.014733333,0.012916667,0.0357,0.001,0.004,0.001616667,0.214916667,0.000350067,0.003016667,44.02,0.58,10.0,39.44,1017.23,8.08,0.16,189.0,0.0,30.11,0.0,2016-03
2016-03-30 13:31:00,0.844783333,0.0,0.039116667,0.005083333,0.008366667,0.01295,0.03135,0.686366667,0.004,0.00155,0.1654499999999999,0.00075,0.206,44.88,0.84,8.44,41.58,1001.11,5.98,0.55,191.0,0.0145,40.25,0.56,2016-03
2016-03-13 20:19:00,0.356183333,1.67e-05,0.0395,0.123883333,0.0199,0.012883333,0.030183333,0.0009,0.00395,0.001216667,0.086716666,0.0004667,0.0987,42.27,0.83,10.0,37.59,1009.66,7.54,0.0,6.0,0.0,37.41,0.0,2016-03
2016-03-28 03:00:00,0.82175,1.67e-05,0.421716667,0.004766667,0.013383333,0.01295,0.0361,0.001016667,0.004083333,0.001583333,0.1815,0.0009666659999999,0.003433333,43.37,0.5,10.0,37.06,1019.92,12.07,0.03,183.0,0.0,26.09,0.0,2016-03
2016-03-01 21:34:00,0.431,1.67e-05,0.113216667,0.120083333,0.006683333,0.0129,0.030333333,0.000983333,0.003983333,0.001516667,0.07455,0.000399967,0.070466667,27.68,0.3,10.0,22.32,1023.19,4.69,0.09,300.0,0.0,0.44,0.0,2016-03
2016-03-20 03:12:00,0.395366667,0.0,0.042083333,0.005083333,0.007533333,0.013033333,0.0332,0.001,0.004083333,0.001616667,0.165183333,0.000716733,0.0034,48.99,0.27,10.0,44.12,1016.1,12.08,0.23,252.0,0.0,16.58,0.0,2016-03
2016-03-17 14:33:00,0.2137,0.0,0.03925,0.127833333,0.006866667,0.012966667,0.030333333,0.001,0.004,0.001266667,0.178216667,0.000433367,0.375116667,27.65,0.47,10.0,20.31,1021.08,6.93,0.03,12.0,0.0,10.13,0.0,2016-03
2016-03-04 12:32:00,1.7353,5e-05,0.087633333,0.137583333,0.045866667,0.013233333,0.031416667,0.0011,0.00415,0.338,0.7901166660000001,0.000333367,0.0126,35.97,0.32,10.0,32.28,1025.84,4.39,0.04,345.0,0.0,8.79,0.0,2016-03
2016-03-15 07:58:00,0.880633333,1.67e-05,0.041216667,0.004733333,0.006866667,0.012383333,0.03275,0.001,0.004,0.0016,0.66045,0.001083333,0.0031,48.84,0.64,9.81,45.57,1005.99,7.51,0.06,318.0,0.0056,37.18,0.25,2016-03
2016-03-14 16:58:00,0.652666667,1.67e-05,0.099116667,0.116833333,0.123083333,0.0127,0.030483333,0.001,0.004016667,0.001533333,0.161433333,0.0004167,0.033366667,46.53,0.91,8.59,46.53,1011.42,0.67,0.31,219.0,0.0689,44.07,0.75,2016-03
2016-03-04 22:45:00,1.240483333,0.000266667,0.064166667,0.004633333,0.124733333,0.012066667,0.03145,0.001,0.004,0.0016,0.579716667,0.001250033,0.000933333,25.76,0.64,10.0,25.76,1025.25,2.93,0.0,165.0,0.0,15.39,0.0,2016-03
2016-03-10 03:49:00,0.318266667,0.0,0.04195,0.005133333,0.00725,0.013116667,0.033283333,0.001016667,0.004,0.001683333,0.084716667,0.000733367,0.003266667,28.96,0.87,9.9,28.96,1027.54,2.93,0.14,197.0,0.0,25.61,0.0,2016-03
